,wage_month,region,head,sex,age,married,schooling,position,economictype,ky hop dong lao dong?,huong luong ngay nghi,huong BHXH,co lam viec khac,urban,Kinh,household_size,poor,houses,pay_rent,other_land/house,wealthindex,t_quantity durables,t_value durables
0,10000,region1,1,male,35,1,22,position1,economictype2,1,1,1,2,1,1,5,0,1,0,0,170,32,459790
1,5000,region1,0,female,33,1,16,position2,economictype2,1,1,1,2,1,1,5,0,1,0,0,170,32,459790
2,6800,region1,0,male,30,1,16,position2,economictype2,1,1,1,2,1,1,5,0,1,0,1,180,45,150350
3,4000,region1,0,female,30,1,14,position2,economictype4,1,1,2,2,1,1,5,0,1,0,1,180,45,150350
4,3000,region1,0,male,43,1,12,position3,economictype1,1,1,1,2,1,1,5,0,1,0,0,180,27,53200
5,5000,region1,0,male,39,1,14,position3,economictype3,1,1,1,2,1,1,6,0,1,0,0,180,37,54750
6,6000,region1,0,female,32,1,16,position2,economictype3,1,1,1,2,1,1,6,0,1,0,0,180,37,54750
7,7000,region1,0,male,29,0,16,position2,economictype2,1,1,1,2,1,1,6,0,1,0,0,180,37,54750
8,8000,region1,1,male,54,1,22,position1,economictype2,1,1,1,2,1,1,4,0,1,0,0,180,30,59300
9,6500,region1,0,female,38,1,16,position1,economictype2,1,1,1,2,1,1,4,0,1,0,0,180,30,59300
10,4700,region1,1,female,48,1,16,position2,economictype2,1,1,1,2,1,1,4,0,1,0,0,180,30,120230
11,7000,region1,0,male,50,1,16,position2,economictype2,1,1,1,2,1,1,4,0,1,0,0,180,30,120230
12,3500,region1,0,female,24,0,16,position2,economictype2,1,1,1,2,1,1,4,0,1,0,0,180,30,120230
13,6000,region1,0,male,59,1,9,position4,economictype2,2,1,1,2,1,1,6,0,1,0,0,180,37,103280
14,7000,region1,0,male,27,0,19,position2,economictype2,2,1,1,2,1,1,6,0,1,0,0,180,37,103280
15,6000,region1,0,female,30,1,19,position3,economictype2,2,1,1,2,1,1,6,0,1,0,0,180,37,103280
16,8000,region1,0,male,35,1,19,position2,economictype2,2,1,1,2,1,1,6,0,1,0,0,180,37,103280
17,5000,region1,0,male,29,1,13,position4,economictype2,1,1,1,2,1,1,5,0,1,0,0,170,26,38800
18,5000,region1,0,female,30,1,14,position3,economictype3,1,1,1,2,1,1,5,0,1,0,0,170,26,38800
19,2500,region1,1,male,51,1,5,position3,economictype2,1,1,2,2,1,1,4,0,1,0,0,180,8,11900
20,1500,region1,0,female,21,0,9,position3,economictype4,2,2,2,2,1,1,4,0,1,0,0,180,8,11900
21,8700,region1,1,female,55,1,16,position2,economictype2,1,1,1,1,1,1,3,0,1,0,0,190,33,41350
22,4000,region1,0,male,55,1,19,position2,economictype1,1,1,2,1,1,1,3,0,1,0,0,190,33,41350
23,15000,region1,0,male,40,1,16,position2,economictype1,1,1,1,2,1,1,6,0,1,0,0,190,37,106600
24,25000,region1,0,female,38,1,16,position2,economictype3,1,1,1,2,1,1,6,0,1,0,0,190,37,106600
25,3500,region1,1,male,30,1,12,position3,economictype1,1,1,1,2,1,1,4,0,1,1,0,190,14,6250
26,10500,region1,0,female,24,1,10,position3,economictype4,2,2,2,2,1,1,4,0,1,1,0,190,14,6250
27,4000,region1,0,male,32,0,12,position3,economictype2,1,1,1,2,1,1,2,0,1,0,0,155,17,48200
28,4500,region1,0,male,28,1,12,position3,economictype4,2,2,2,2,1,1,6,0,1,0,0,110,18,45930
29,3600,region1,0,female,22,1,9,position3,economictype4,2,2,2,2,1,1,6,0,1,0,0,110,18,45930
30,5000,region1,0,female,49,1,15,position2,economictype1,1,1,1,2,1,1,5,0,1,0,0,180,35,34360
31,9000,region1,1,male,33,1,16,position2,economictype2,1,1,1,2,1,1,4,0,1,0,0,180,45,113300
32,8500,region1,0,female,33,1,16,position2,economictype2,1,1,1,2,1,1,4,0,1,0,0,180,45,113300
33,11000,region1,1,male,33,1,16,position2,economictype1,1,1,1,2,1,1,3,0,1,0,0,190,28,93600
34,7500,region1,0,female,32,1,16,position2,economictype1,1,1,1,2,1,1,3,0,1,0,0,190,28,93600
35,7000,region1,1,male,54,1,16,position2,economictype2,1,1,1,2,1,1,6,0,1,0,0,180,19,52250
36,5000,region1,0,male,25,1,16,position2,economictype2,1,1,1,2,1,1,6,0,1,0,0,180,19,52250
37,8000,region1,0,female,32,1,16,position2,economictype1,1,1,1,2,1,1,4,0,1,0,0,180,18,48100
38,7500,region1,0,male,32,1,16,position2,economictype2,1,1,1,2,1,1,4,0,1,0,0,180,18,48100
39,5100,region1,0,male,25,1,13,position4,economictype1,2,2,2,2,1,1,4,0,1,0,1,160,26,76773
40,2890,region1,0,female,30,1,15,position3,economictype3,1,1,1,2,1,1,4,0,1,0,0,160,21,38690
41,4100,region1,1,female,47,1,15,position4,economictype1,1,1,1,2,1,1,4,0,1,0,1,130,25,112709
42,6500,region1,0,male,53,1,15,position4,economictype1,1,1,1,2,1,1,4,0,1,0,1,130,25,112709
43,5600,region1,1,male,54,1,13,position4,economictype2,1,1,1,2,1,1,2,0,1,0,0,180,18,52210
44,3200,region1,0,female,47,1,13,position4,economictype1,1,1,1,2,1,1,2,0,1,0,0,180,18,52210
45,5800,region1,0,male,29,0,15,position6,economictype1,1,1,1,2,1,1,6,0,1,0,0,180,26,71650
46,5500,region1,0,male,32,1,13,position4,economictype1,1,1,1,2,1,1,6,0,1,0,0,180,26,71650
47,3500,region1,0,female,26,1,16,position3,economictype1,1,1,1,2,1,1,6,0,1,0,0,180,26,71650
48,7500,region1,1,male,46,1,16,position2,economictype2,1,1,1,2,1,1,4,0,2,0,1,180,42,446700
49,12000,region1,0,female,42,1,16,position2,economictype1,1,1,1,2,1,1,4,0,2,0,1,180,42,446700
50,7500,region1,0,male,47,1,16,position2,economictype2,1,1,1,2,1,1,5,0,1,0,1,180,42,117610
51,6500,region1,0,female,41,1,14,position2,economictype2,1,1,1,2,1,1,5,0,1,0,1,180,42,117610
52,3000,region1,0,male,54,1,9,position3,economictype2,1,1,2,2,1,1,6,0,1,0,0,160,15,8460
53,4500,region1,0,male,24,1,12,position3,economictype1,2,2,2,2,1,1,6,0,1,0,0,160,15,8460
54,2500,region1,0,female,20,1,12,position3,economictype4,2,2,2,2,1,1,3,0,1,0,0,180,17,42750
55,3000,region1,0,male,32,1,14,position4,economictype2,1,1,1,2,1,1,6,0,1,0,1,190,23,33550
56,2800,region1,0,female,29,1,14,position4,economictype2,1,1,1,1,1,1,6,0,1,0,1,190,23,33550
57,4500,region1,0,male,28,1,14,position3,economictype1,1,1,1,2,1,1,3,0,1,0,0,160,26,39600
58,5500,region1,0,female,28,1,16,position2,economictype1,1,1,1,2,1,1,3,0,1,0,0,160,26,39600
59,5000,region1,0,male,27,1,14,position4,economictype2,1,1,1,2,1,1,4,0,1,0,0,180,30,84300
60,5000,region1,0,female,26,1,16,position2,economictype2,1,1,1,2,1,1,4,0,1,0,0,180,30,84300
61,15000,region1,1,male,38,1,23,position1,economictype1,1,1,1,2,1,1,4,0,1,0,1,170,38,669200
62,7000,region1,0,female,32,1,16,position2,economictype2,1,1,1,2,1,1,4,0,1,0,1,170,38,669200
63,7200,region1,1,male,58,1,16,position2,economictype2,1,1,1,2,1,1,5,0,1,0,0,180,26,91130
64,7000,region1,0,male,28,0,16,position3,economictype1,1,1,2,2,1,1,5,0,1,0,0,180,26,91130
65,3500,region1,0,female,24,0,15,position3,economictype1,1,1,2,2,1,1,5,0,1,0,0,180,26,91130
66,5000,region1,0,male,30,1,16,position2,economictype2,1,1,1,2,1,1,5,0,1,0,0,180,33,132350
67,3200,region1,0,female,23,1,16,position2,economictype1,1,1,1,2,1,1,5,0,1,0,0,180,33,132350
68,4300,region1,0,male,24,0,16,position2,economictype1,1,1,1,2,1,1,5,0,1,0,0,180,33,132350
69,6000,region1,1,male,42,1,13,position4,economictype1,1,1,1,2,1,1,3,0,1,0,0,180,22,122300
70,10000,region1,0,female,36,1,16,position3,economictype2,1,1,1,2,1,1,3,0,1,0,0,180,22,122300
71,6500,region1,1,male,54,0,10,position4,economictype1,1,1,1,2,1,1,1,0,1,0,0,180,17,41720
72,6500,region1,0,female,30,1,19,position2,economictype2,1,1,1,1,1,1,4,0,1,0,1,180,29,93570
73,13000,region1,0,male,33,1,16,position2,economictype1,1,1,1,2,1,1,4,0,1,0,1,180,29,93570
74,2500,region1,0,female,50,1,9,position6,economictype4,2,2,2,2,1,1,3,0,1,0,0,140,16,12550
75,5100,region1,1,male,47,1,12,position6,economictype2,1,1,1,2,1,1,4,0,1,0,0,170,30,33000
76,5000,region1,0,female,42,1,12,position4,economictype2,1,1,1,2,1,1,4,0,1,0,0,170,30,33000
77,5500,region1,1,male,45,1,14,position3,economictype2,1,1,1,2,1,1,4,0,1,0,1,170,32,57001
78,4000,region1,0,female,42,1,12,position4,economictype4,2,2,2,2,1,1,4,0,1,0,1,170,32,57001
79,4500,region1,0,male,23,1,13,position6,economictype3,1,1,1,2,1,1,5,0,1,0,1,180,38,101670
80,4500,region1,0,female,24,1,12,position6,economictype3,1,1,1,2,1,1,5,0,1,0,1,180,38,101670
81,15000,region1,0,male,53,1,19,position2,economictype2,2,1,1,2,1,1,4,0,1,0,0,170,28,107070
82,10000,region1,0,female,27,0,16,position2,economictype2,2,1,1,2,1,1,4,0,1,0,0,170,28,107070
83,8000,region1,1,female,49,1,15,position2,economictype2,1,1,1,2,1,1,4,0,1,0,0,170,30,117820
84,12000,region1,0,male,50,1,19,position1,economictype2,1,1,1,2,1,1,4,0,1,0,0,170,30,117820
85,6000,region1,0,female,31,1,14,position2,economictype1,1,1,2,2,1,1,8,0,1,0,0,170,37,201070
86,15000,region1,0,male,34,1,16,position2,economictype4,2,1,2,2,1,1,8,0,1,0,0,170,37,201070
87,6000,region1,0,male,29,1,16,position2,economictype1,1,1,1,2,1,1,8,0,1,0,0,170,37,201070
88,3500,region1,0,female,22,1,16,position2,economictype4,2,1,2,2,1,1,8,0,1,0,0,170,37,201070
89,7000,region1,0,male,36,1,16,position2,economictype1,1,1,1,2,1,1,9,0,1,0,1,180,45,90900
90,9000,region1,0,male,27,1,13,position4,economictype1,1,1,2,2,1,1,9,0,1,0,1,180,45,90900
91,10000,region1,1,male,44,1,16,position2,economictype1,1,1,1,2,1,1,3,0,1,0,0,180,26,72200
92,8000,region1,0,female,40,1,22,position2,economictype2,1,1,1,2,1,1,3,0,1,0,0,180,26,72200
93,9000,region1,0,female,31,1,16,position2,economictype1,1,1,1,2,1,1,7,0,1,0,0,180,45,64860
94,18000,region1,0,male,36,1,16,position1,economictype2,1,1,1,2,1,1,7,0,1,0,0,180,45,64860
95,6500,region1,1,male,58,1,16,position2,economictype1,1,1,2,2,1,1,3,0,1,0,1,180,24,32100
96,2000,region1,0,female,38,0,16,position1,economictype2,1,1,1,2,1,1,3,0,1,0,1,180,27,29200
97,4500,region1,0,male,51,0,12,position4,economictype2,1,1,1,2,1,1,3,0,1,0,1,180,27,29200
98,6500,region1,0,male,28,1,16,position2,economictype2,1,1,1,2,1,1,6,0,1,0,0,160,37,160450
99,5000,region1,0,female,27,1,16,position2,economictype3,1,1,2,1,1,1,6,0,1,0,0,160,37,160450
100,6000,region1,0,female,31,0,16,position2,economictype1,1,1,1,2,1,1,3,0,1,0,0,180,39,125500
101,6000,region1,0,male,39,1,16,position2,economictype2,1,1,1,2,1,1,6,0,1,0,1,180,27,107850
102,7000,region1,0,female,35,1,16,position2,economictype3,1,1,1,2,1,1,6,0,1,0,1,180,27,107850
103,2900,region1,0,female,26,0,15,position2,economictype2,1,1,1,2,1,1,4,0,1,0,1,180,32,139300
104,5000,region1,1,male,54,1,22,position2,economictype2,1,1,1,2,1,1,4,0,1,0,0,180,40,899400
105,7400,region1,0,female,50,1,16,position2,economictype1,1,1,1,2,1,1,4,0,1,0,0,180,40,899400
106,5000,region1,0,female,52,0,16,position2,economictype1,1,1,1,2,1,1,4,0,1,0,0,180,40,899400
107,10000,region1,0,female,31,1,22,position2,economictype3,1,1,1,2,1,1,5,0,1,0,0,180,37,112000
108,23000,region1,0,female,23,0,16,position2,economictype3,1,1,1,2,1,1,5,0,1,0,0,180,37,112000
